country,year,records
AUS,1984,838470
AUS,1985,770091
AUS,1986,813126
AUS,1987,795664
AUS,1988,840348
AUS,1989,766888
AUS,1990,886436
AUS,1991,1092212
AUS,1992,1271051
AUS,1993,1349802
AUS,1994,1149796
AUS,1995,1217780
AUS,1996,1258687
AUS,1997,1366860
AUS,1998,1858839
AUS,1999,3122764
AUS,2000,3026169
AUS,2001,3068180
AUS,2002,2471607
AUS,2003,2070477
AUS,2004,2165563
AUS,2005,2261516
AUS,2006,2164603
AUS,2007,2562765
AUS,2008,3470346
AUS,2009,3094942
AUS,2010,3651745
AUS,2011,5090088
AUS,2012,7607986
AUS,2013,10377135
AUS,2014,11146526
AUS,2015,10251484
AUS,2016,17984169
AUS,2017,22658217
AUS,2018,8499214
AUS,2019,15143683
AUS,2020,15209267
AUS,2021,18219959
AUS,2022,14059368
AUS,2023,14953782
AUS,2024,15116508
AUS,2025,3278546
AUT,1960,43325
AUT,1961,32926
AUT,1962,32923
AUT,1963,41341
AUT,1964,38141
AUT,1965,37501
AUT,1966,31987
AUT,1967,43610
AUT,1968,32229
AUT,1969,34945
AUT,1970,36429
AUT,1971,29717
AUT,1972,44869
AUT,1973,38332
AUT,1974,54169
AUT,1975,50287
AUT,1976,57862
AUT,1977,74459
AUT,1978,58684
AUT,1979,61366
AUT,1980,58566
AUT,1981,65279
AUT,1982,61046
AUT,1983,142007
AUT,1984,97264
AUT,1985,82303
AUT,1986,85368
AUT,1987,199544
AUT,1988,93269
AUT,1989,116161
AUT,1990,95140
AUT,1991,148979
AUT,1992,140985
AUT,1993,267142
AUT,1994,141952
AUT,1995,219532
AUT,1996,194320
AUT,1997,193365
AUT,1998,273097
AUT,1999,617535
AUT,2000,448147
AUT,2001,183266
AUT,2002,211589
AUT,2003,301313
AUT,2004,605371
AUT,2005,448712
AUT,2006,244246
AUT,2007,198319
AUT,2008,226340
AUT,2009,367472
AUT,2010,500080
AUT,2011,265806
AUT,2012,283151
AUT,2013,231166
AUT,2014,214167
AUT,2015,220315
AUT,2016,271208
AUT,2017,275449
AUT,2018,364803
AUT,2019,474893
AUT,2020,695400
AUT,2021,817061
AUT,2022,922368
AUT,2023,1085555
AUT,2024,1348669
AUT,2025,1230930
AZE,1960,334
AZE,1961,288
AZE,1962,478
AZE,1963,438
AZE,1964,296
AZE,1965,154
AZE,1966,480
AZE,1967,602
AZE,1968,642
AZE,1969,571
AZE,1970,790
AZE,1971,774
AZE,1972,268
AZE,1973,510
AZE,1974,770
AZE,1975,343
AZE,1976,525
AZE,1977,947
AZE,1978,291
AZE,1979,278
AZE,1980,254
AZE,1981,236
AZE,1982,722
AZE,1983,473
AZE,1984,934
AZE,1985,553
AZE,1986,508
AZE,1987,575
AZE,1988,283
AZE,1989,860
AZE,1990,269
AZE,1991,413
AZE,1992,421
AZE,1993,30
AZE,1994,137
AZE,1995,86
AZE,1996,221
AZE,1997,330
AZE,1998,138
AZE,1999,452
AZE,2000,222
AZE,2001,1210
AZE,2002,266
AZE,2003,470
AZE,2004,2454
AZE,2005,876
AZE,2006,3385
AZE,2007,5992
AZE,2008,17314
AZE,2009,1632
AZE,2010,4557
AZE,2011,10900
AZE,2012,9016
AZE,2013,19297
AZE,2014,2718
AZE,2015,2453
AZE,2016,4754
AZE,2017,12733
AZE,2018,34142
AZE,2019,14949
AZE,2020,5663
AZE,2021,8141
AZE,2022,27122
AZE,2023,31424
AZE,2024,18413
AZE,2025,2487
BDI,1960,241
BDI,1961,1326
BDI,1962,337
BDI,1963,368
BDI,1964,96
BDI,1965,673
BDI,1966,3996
BDI,1967,4869
BDI,1968,2165
BDI,1969,3875
BDI,1970,2737
BDI,1971,6332
BDI,1972,3096
BDI,1973,3145
BDI,1974,5764
BDI,1975,2701
BDI,1976,3169
BDI,1977,4688
BDI,1978,4624
BDI,1979,6829
BDI,1980,6608
BDI,1981,7663
BDI,1982,2663
BDI,1983,605
BDI,1984,583
BDI,1985,784
BDI,1986,435
BDI,1987,154
BDI,1988,339
BDI,1989,65
BDI,1990,1504
BDI,1991,2205
BDI,1992,1512
BDI,1993,1808
BDI,1994,3156
BDI,1995,319
BDI,1996,116
BDI,1997,10
BDI,1998,18
BDI,1999,3
BDI,2000,282
BDI,2001,116
BDI,2002,851
BDI,2003,639
BDI,2004,291
BDI,2005,332
BDI,2006,78
BDI,2007,1640
BDI,2008,2393
BDI,2009,542
BDI,2010,768
BDI,2011,972
BDI,2012,229
BDI,2013,808
BDI,2014,609
BDI,2015,260
BDI,2016,85
BDI,2017,592
BDI,2018,1691
BDI,2019,742
BDI,2020,8903
BDI,2021,456
BDI,2022,1095
BDI,2023,459
BDI,2024,1399
BDI,2025,978
BEL,1960,46786
BEL,1961,40300
BEL,1962,38831
BEL,1963,43044
BEL,1964,36631
BEL,1965,31811
BEL,1966,33859
BEL,1967,25262
BEL,1968,32836
BEL,1969,38644
BEL,1970,34874
BEL,1971,38978
BEL,1972,382625
BEL,1973,55201
BEL,1974,79042
BEL,1975,58793
BEL,1976,62265
BEL,1977,115171
BEL,1978,220760
BEL,1979,102239
BEL,1980,142289
BEL,1981,117336
BEL,1982,114606
BEL,1983,100462
BEL,1984,143828
BEL,1985,151098
BEL,1986,164099
BEL,1987,136625
BEL,1988,147593
BEL,1989,133862
BEL,1990,150044
BEL,1991,215367
BEL,1992,203519
BEL,1993,208869
BEL,1994,228895
BEL,1995,258651
BEL,1996,304986
BEL,1997,411692
BEL,1998,410446
BEL,1999,433411
BEL,2000,518709
BEL,2001,541407
BEL,2002,569246
BEL,2003,520324
BEL,2004,560044
BEL,2005,475628
BEL,2006,483099
BEL,2007,594649
BEL,2008,747171
BEL,2009,1157826
BEL,2010,1311629
BEL,2011,1472725
BEL,2012,1639183
BEL,2013,1826606
BEL,2014,2171595
BEL,2015,2582718
BEL,2016,2981641
BEL,2017,3576296
BEL,2018,3835273
BEL,2019,1314969
BEL,2020,1253647
BEL,2021,1760026
BEL,2022,1784556
BEL,2023,1843452
BEL,2024,1758134
BEL,2025,1100741
BEN,1960,4
BEN,1961,157
BEN,1962,125
BEN,1963,2851
BEN,1964,1751
BEN,1965,107
BEN,1966,363
BEN,1967,482
BEN,1968,4050
BEN,1969,73
BEN,1970,2044
BEN,1971,1405
BEN,1972,67
BEN,1973,322
BEN,1974,179
BEN,1975,199
BEN,1976,46
BEN,1977,286
BEN,1978,1675
BEN,1979,676
BEN,1980,529
BEN,1981,708
BEN,1982,3282
BEN,1983,604
BEN,1984,774
BEN,1985,654
BEN,1986,1014
BEN,1987,953
BEN,1988,2301
BEN,1989,2382
BEN,1990,588
BEN,1991,392
BEN,1992,3056
BEN,1993,4371
BEN,1994,12230
BEN,1995,2632
BEN,1996,7175
BEN,1997,7839
BEN,1998,34492
BEN,1999,32759
BEN,2000,31851
BEN,2001,35316
BEN,2002,8811
BEN,2003,20135
BEN,2004,20040
BEN,2005,24602
BEN,2006,30624
BEN,2007,56102
BEN,2008,20162
BEN,2009,27368
BEN,2010,29805
BEN,2011,27664
BEN,2012,20485
BEN,2013,101769
BEN,2014,58082
BEN,2015,69503
BEN,2016,59316
BEN,2017,62095
BEN,2018,47109
BEN,2019,128566
BEN,2020,37767
BEN,2021,14258
BEN,2022,3617
BEN,2023,8872
BEN,2024,10077
BEN,2025,3409
BFA,1960,118
BFA,1961,182
BFA,1962,1682
BFA,1963,201
BFA,1964,393
BFA,1965,197
BFA,1966,225
BFA,1967,1402
BFA,1968,3283
BFA,1969,4493
BFA,1970,401
BFA,1971,87
BFA,1972,242
BFA,1973,3096
BFA,1974,3386
BFA,1975,8953
BFA,1976,8256
BFA,1977,2354
BFA,1978,545
BFA,1979,1059
BFA,1980,2570
BFA,1981,2926
BFA,1982,1690
BFA,1983,1249
BFA,1984,844
BFA,1985,501
BFA,1986,639
BFA,1987,188
BFA,1988,3059
BFA,1989,612
BFA,1990,1351
BFA,1991,1712
BFA,1992,1328
BFA,1993,2421
BFA,1994,2419
BFA,1995,1445
BFA,1996,3346
BFA,1997,1850
BFA,1998,3887
BFA,1999,739
BFA,2000,3872
BFA,2001,4597
BFA,2002,14240
BFA,2003,10174
BFA,2004,7521
BFA,2005,2368
BFA,2006,2728
BFA,2007,2164
BFA,2008,2929
BFA,2009,2304
BFA,2010,912
BFA,2011,649
BFA,2012,2137
BFA,2013,7082
BFA,2014,27989
BFA,2015,9085
BFA,2016,431
BFA,2017,4032
BFA,2018,9792
BFA,2019,582
BFA,2020,1372
BFA,2021,3914
BFA,2022,4111
BFA,2023,3577
BFA,2024,3312
BFA,2025,3888
BGD,1960,18
BGD,1961,158
BGD,1962,13
BGD,1963,452
BGD,1964,100
BGD,1965,214
BGD,1966,64
BGD,1967,118
BGD,1968,127
BGD,1969,49
BGD,1970,144
BGD,1971,32
BGD,1972,11
BGD,1973,130
BGD,1974,2115
BGD,1975,34
BGD,1976,392
BGD,1977,590
BGD,1978,1129
BGD,1979,868
BGD,1980,1090
BGD,1981,805
BGD,1982,74
BGD,1983,160
BGD,1984,349
BGD,1985,324
BGD,1986,98
BGD,1987,125
BGD,1988,350
BGD,1989,525
BGD,1990,670
BGD,1991,112
BGD,1992,454
BGD,1993,39
BGD,1994,763
BGD,1995,1058
BGD,1996,1394
BGD,1997,1382
BGD,1998,1090
BGD,1999,583
BGD,2000,580
BGD,2001,196
BGD,2002,1448
BGD,2003,1403
BGD,2004,389
BGD,2005,209
BGD,2006,355
BGD,2007,696
BGD,2008,935
BGD,2009,1986
BGD,2010,2481
BGD,2011,2181
BGD,2012,2272
BGD,2013,3866
BGD,2014,62082
BGD,2015,17382
BGD,2016,7015
BGD,2017,11065
BGD,2018,16238
BGD,2019,48607
BGD,2020,103110
BGD,2021,134583
BGD,2022,136088
BGD,2023,220697
BGD,2024,112965
BGD,2025,6537
BGR,1960,3162
BGR,1961,2091
BGR,1962,1992
BGR,1963,962
BGR,1964,699
BGR,1965,2657
BGR,1966,1789
BGR,1967,1948
BGR,1968,1152
BGR,1969,2122
BGR,1970,1500
BGR,1971,2050
BGR,1972,3958
BGR,1973,1648
BGR,1974,1795
BGR,1975,1667
BGR,1976,1237
BGR,1977,1704
BGR,1978,2151
BGR,1979,997
BGR,1980,1973
BGR,1981,1076
BGR,1982,1617
BGR,1983,1938
BGR,1984,2094
BGR,1985,3199
BGR,1986,1532
BGR,1987,3875
BGR,1988,3621
BGR,1989,2221
BGR,1990,3289
BGR,1991,2302
BGR,1992,2480
BGR,1993,2732
BGR,1994,1876
BGR,1995,1951
BGR,1996,2100
BGR,1997,3963
BGR,1998,6334
BGR,1999,6406
BGR,2000,5557
BGR,2001,5140
BGR,2002,5792
BGR,2003,10609
BGR,2004,24444
BGR,2005,31655
BGR,2006,41461
BGR,2007,25529
BGR,2008,27370
BGR,2009,22674
BGR,2010,32032
BGR,2011,40275
BGR,2012,62843
BGR,2013,39255
BGR,2014,38369
BGR,2015,59414
BGR,2016,73262
BGR,2017,176134
BGR,2018,157034
BGR,2019,176426
BGR,2020,198677
BGR,2021,286203
BGR,2022,316777
BGR,2023,345957
BGR,2024,350451
BGR,2025,89340
BHR,1960,1
BHR,1961,4
BHR,1962,1
BHR,1963,2
BHR,1964,15
BHR,1965,47
BHR,1966,10
BHR,1967,9
BHR,1968,1
BHR,1969,20
BHR,1970,211
BHR,1971,68
BHR,1972,11
BHR,1973,2
BHR,1974,10
BHR,1975,23
BHR,1976,3
BHR,1977,384
BHR,1978,966
BHR,1979,406
BHR,1980,20
BHR,1981,10
BHR,1982,12
BHR,1983,217
BHR,1984,233
BHR,1985,391
BHR,1986,173
BHR,1987,23
BHR,1988,12
BHR,1989,20
BHR,1990,196
BHR,1991,29
BHR,1992,66
BHR,1993,89
BHR,1994,161
BHR,1995,81
BHR,1996,129
BHR,1997,241
BHR,1998,349
BHR,1999,479
BHR,2000,186
BHR,2001,35
BHR,2003,13
BHR,2004,22
BHR,2005,76
BHR,2006,84
BHR,2007,41
BHR,2008,62
BHR,2009,60
BHR,2010,386
BHR,2011,142
BHR,2012,253
BHR,2013,263
BHR,2014,271
BHR,2015,1409
BHR,2016,406
BHR,2017,812
BHR,2018,1118
BHR,2019,2751
BHR,2020,479
BHR,2021,3116
BHR,2022,5432
BHR,2023,2769
BHR,2024,3847
BHR,2025,203
BIH,1960,161
BIH,1961,52
BIH,1962,418
BIH,1963,267
BIH,1964,148
BIH,1965,163
BIH,1966,218
BIH,1967,90
BIH,1968,144
BIH,1969,337
BIH,1970,221
BIH,1971,240
BIH,1972,283
BIH,1973,140
BIH,1974,85
BIH,1975,148
BIH,1976,134
BIH,1977,96
BIH,1978,201
BIH,1979,273
BIH,1980,146
BIH,1981,322
BIH,1982,137
BIH,1983,269
BIH,1984,170
BIH,1985,102
BIH,1986,48
BIH,1987,302
BIH,1988,257
BIH,1989,149
BIH,1990,275
BIH,1991,10
BIH,1992,5
BIH,1993,2
BIH,1994,8
BIH,1995,26
BIH,1996,68
BIH,1997,29
BIH,1998,36
BIH,1999,133
BIH,2000,478
BIH,2001,125
BIH,2002,268
BIH,2003,625
BIH,2004,350
BIH,2005,201
BIH,2006,173
BIH,2007,407
BIH,2008,226
BIH,2009,210
BIH,2010,545
BIH,2011,1692
BIH,2012,800
BIH,2013,597
BIH,2014,807
BIH,2015,2455
BIH,2016,3443
BIH,2017,3573
BIH,2018,5362
BIH,2019,4499
BIH,2020,2620
BIH,2021,5875
BIH,2022,10095
BIH,2023,13102
BIH,2024,16507
BIH,2025,14294
BLR,1960,52
BLR,1961,50
BLR,1962,46
BLR,1963,52
BLR,1964,21
BLR,1965,269
BLR,1966,323
BLR,1967,146
BLR,1968,102
BLR,1969,293
BLR,1970,64
BLR,1971,68
BLR,1972,162
BLR,1973,80
BLR,1974,228
BLR,1975,118
BLR,1976,368
BLR,1977,483
BLR,1978,181
BLR,1979,81
BLR,1980,78
BLR,1981,45
BLR,1982,70
BLR,1983,73
BLR,1984,61
BLR,1985,87
BLR,1986,62
BLR,1987,110
BLR,1988,878
BLR,1989,84
BLR,1990,24
BLR,1991,37
BLR,1992,51
BLR,1993,61
BLR,1994,134
BLR,1995,634
BLR,1996,162
BLR,1997,150
BLR,1998,225
BLR,1999,217
BLR,2000,196
BLR,2001,356
BLR,2002,360
BLR,2003,309
BLR,2004,565
BLR,2005,436
BLR,2006,2035
BLR,2007,865
BLR,2008,1774
BLR,2009,1876
BLR,2010,3868
BLR,2011,3278
BLR,2012,2316
BLR,2013,6127
BLR,2014,8768
BLR,2015,11299
BLR,2016,30552
BLR,2017,18294
BLR,2018,27729
BLR,2019,33504
BLR,2020,73963
BLR,2021,74439
BLR,2022,86659
BLR,2023,99080
BLR,2024,120430
BLR,2025,61443
BOL,1960,1643
BOL,1961,611
BOL,1962,1225
BOL,1963,5649
BOL,1964,5948
BOL,1965,3606
BOL,1966,4393
BOL,1967,1790
BOL,1968,3368
BOL,1969,711
BOL,1970,598
BOL,1971,2413
BOL,1972,4330
BOL,1973,3238
BOL,1974,1334
BOL,1975,1796
BOL,1976,6228
BOL,1977,5597
BOL,1978,5830
BOL,1979,13083
BOL,1980,13107
BOL,1981,14552
BOL,1982,14130
BOL,1983,15480
BOL,1984,26523
BOL,1985,18413
BOL,1986,20427
BOL,1987,22737
BOL,1988,21072
BOL,1989,18925
BOL,1990,27576
BOL,1991,26177
BOL,1992,18644
BOL,1993,27246
BOL,1994,37368
BOL,1995,36576
BOL,1996,29544
BOL,1997,29813
BOL,1998,26991
BOL,1999,38201
BOL,2000,20941
BOL,2001,47658
BOL,2002,48353
BOL,2003,43359
BOL,2004,47967
BOL,2005,74241
BOL,2006,39675
BOL,2007,46834
BOL,2008,47731
BOL,2009,47200
BOL,2010,77542
BOL,2011,31314
BOL,2012,36770
BOL,2013,32239
BOL,2014,25739
BOL,2015,47400
BOL,2016,35734
BOL,2017,56308
BOL,2018,116297
BOL,2019,102431
BOL,2020,64130
BOL,2021,121020
BOL,2022,230241
BOL,2023,246371
BOL,2024,260338
BOL,2025,38512
BRA,1960,74207
BRA,1961,103647
BRA,1962,83657
BRA,1963,83967
BRA,1964,111568
BRA,1965,133674
BRA,1966,154229
BRA,1967,112021
